"order_id";"order_year";"order_month";"order_revenue";"cumulative_revenue";"cumulative_percent";"abc_class"
10865;1998.0;2.0;17250;17250;"1%";A
11030;1998.0;4.0;16322;33572;"2%";A
10981;1998.0;3.0;15810;49382;"4%";A
10372;1996.0;12.0;12281;61663;"5%";A
10424;1997.0;1.0;11493;73156;"5%";A
10817;1998.0;1.0;11491;84647;"6%";A
10889;1998.0;2.0;11380;96027;"7%";A
10417;1997.0;1.0;11283;107310;"8%";A
10897;1998.0;2.0;10835;118145;"9%";A
10353;1996.0;11.0;10742;128887;"10%";A
10515;1997.0;4.0;10589;139476;"10%";A
10479;1997.0;3.0;10496;149971;"11%";A
10540;1997.0;5.0;10192;160163;"12%";A
10691;1997.0;10.0;10165;170328;"13%";A
11032;1998.0;4.0;8902;179230;"13%";A
10816;1998.0;1.0;8891;188121;"14%";A
10514;1997.0;4.0;8623;196745;"15%";A
10912;1998.0;2.0;8267;205012;"15%";A
10360;1996.0;11.0;7390;212402;"16%";A
10776;1997.0;12.0;6984;219387;"16%";A
11021;1998.0;4.0;6941;226328;"17%";A
11017;1998.0;4.0;6750;233078;"17%";A
10993;1998.0;4.0;6527;239605;"18%";A
10633;1997.0;8.0;6483;246088;"18%";A
10607;1997.0;7.0;6475;252564;"19%";A
10895;1998.0;2.0;6379;258943;"19%";A
10612;1997.0;7.0;6375;265318;"20%";A
10595;1997.0;7.0;6300;271618;"20%";A
10687;1997.0;9.0;6202;277820;"21%";A
10847;1998.0;1.0;6165;283985;"21%";A
10324;1996.0;10.0;6156;290141;"21%";A
10430;1997.0;1.0;5796;295937;"22%";A
10440;1997.0;2.0;5793;301730;"22%";A
10351;1996.0;11.0;5678;307408;"23%";A
10893;1998.0;2.0;5502;312910;"23%";A
10678;1997.0;9.0;5256;318166;"23%";A
11072;1998.0;5.0;5218;323384;"24%";A
10616;1997.0;7.0;5032;328416;"24%";A
10634;1997.0;8.0;4986;333402;"25%";A
10990;1998.0;4.0;4931;338333;"25%";A
11008;1998.0;4.0;4903;343236;"25%";A
10694;1997.0;10.0;4825;348061;"26%";A
10329;1996.0;10.0;4819;352881;"26%";A
10979;1998.0;3.0;4814;357694;"26%";A
10941;1998.0;3.0;4769;362463;"27%";A
10510;1997.0;4.0;4735;367199;"27%";A
11064;1998.0;5.0;4722;371921;"27%";A
10836;1998.0;1.0;4706;376626;"28%";A
10953;1998.0;3.0;4675;381301;"28%";A
10658;1997.0;9.0;4668;385969;"28%";A
10666;1997.0;9.0;4667;390636;"29%";A
10841;1998.0;1.0;4581;395217;"29%";A
10745;1997.0;11.0;4530;399747;"30%";A
10711;1997.0;10.0;4452;404199;"30%";A
10949;1998.0;3.0;4422;408621;"30%";A
10657;1997.0;9.0;4372;412992;"30%";A
10762;1997.0;12.0;4337;417329;"31%";A
10605;1997.0;7.0;4326;421655;"31%";A
10451;1997.0;2.0;4277;425933;"31%";A
10672;1997.0;9.0;4210;430143;"32%";A
10549;1997.0;5.0;4182;434325;"32%";A
10530;1997.0;5.0;4180;438505;"32%";A
10305;1996.0;9.0;4157;442662;"33%";A
10518;1997.0;4.0;4150;446812;"33%";A
10845;1998.0;1.0;4059;450871;"33%";A
10801;1997.0;12.0;4036;454907;"34%";A
10267;1996.0;7.0;4031;458938;"34%";A
10802;1997.0;12.0;3924;462861;"34%";A
10588;1997.0;7.0;3900;466761;"34%";A
10458;1997.0;2.0;3891;470652;"35%";A
10401;1997.0;1.0;3869;474521;"35%";A
10988;1998.0;3.0;3772;478293;"35%";A
11056;1998.0;4.0;3740;482033;"36%";A
10252;1996.0;7.0;3730;485763;"36%";A
10789;1997.0;12.0;3687;489450;"36%";A
10555;1997.0;6.0;3680;493131;"36%";A
11053;1998.0;4.0;3659;496789;"37%";A
10359;1996.0;11.0;3654;500444;"37%";A
10938;1998.0;3.0;3642;504086;"37%";A
10772;1997.0;12.0;3603;507689;"37%";A
10698;1997.0;10.0;3601;511290;"38%";A
11033;1998.0;4.0;3592;514882;"38%";A
10962;1998.0;3.0;3584;518466;"38%";A
10861;1998.0;1.0;3523;521990;"39%";A
10854;1998.0;1.0;3490;525480;"39%";A
10688;1997.0;10.0;3490;528970;"39%";A
10339;1996.0;10.0;3463;532433;"39%";A
10718;1997.0;10.0;3463;535896;"40%";A
10709;1997.0;10.0;3424;539320;"40%";A
10701;1997.0;10.0;3370;542690;"40%";A
10760;1997.0;12.0;3304;545994;"40%";A
10393;1996.0;12.0;3303;549296;"41%";A
10524;1997.0;5.0;3193;552489;"41%";A
10490;1997.0;3.0;3163;555652;"41%";A
10886;1998.0;2.0;3128;558780;"41%";A
10298;1996.0;9.0;3127;561907;"41%";A
10742;1997.0;11.0;3118;565025;"42%";A
10567;1997.0;6.0;3109;568134;"42%";A
10823;1998.0;1.0;3108;571241;"42%";A
11039;1998.0;4.0;3090;574331;"42%";A
10757;1997.0;11.0;3082;577413;"43%";A
10400;1997.0;1.0;3063;580476;"43%";A
10286;1996.0;8.0;3016;583492;"43%";A
10511;1997.0;4.0;3000;586492;"43%";A
10852;1998.0;1.0;2984;589476;"44%";A
11012;1998.0;4.0;2974;592450;"44%";A
10714;1997.0;10.0;2941;595391;"44%";A
10345;1996.0;11.0;2925;598316;"44%";A
10382;1996.0;12.0;2900;601216;"44%";A
10894;1998.0;2.0;2898;604114;"45%";A
10637;1997.0;8.0;2896;607010;"45%";A
10796;1997.0;12.0;2878;609888;"45%";A
10991;1998.0;4.0;2870;612758;"45%";A
10344;1996.0;11.0;2856;615614;"45%";A
10561;1997.0;6.0;2845;618459;"46%";A
10316;1996.0;9.0;2835;621294;"46%";A
10713;1997.0;10.0;2828;624122;"46%";A
10546;1997.0;5.0;2812;626934;"46%";A
10629;1997.0;8.0;2775;629709;"46%";A
10805;1997.0;12.0;2775;632484;"47%";A
10987;1998.0;3.0;2772;635256;"47%";A
11001;1998.0;4.0;2769;638025;"47%";A
10787;1997.0;12.0;2761;640786;"47%";A
10851;1998.0;1.0;2740;643526;"48%";A
10398;1996.0;12.0;2736;646262;"48%";A
10638;1997.0;8.0;2720;648982;"48%";A
10465;1997.0;3.0;2719;651701;"48%";A
10523;1997.0;5.0;2716;654417;"48%";A
10402;1997.0;1.0;2713;657130;"49%";A
10302;1996.0;9.0;2709;659839;"49%";A
10618;1997.0;8.0;2698;662536;"49%";A
10831;1998.0;1.0;2684;665221;"49%";A
10455;1997.0;2.0;2684;667905;"49%";A
10522;1997.0;4.0;2658;670563;"50%";A
11007;1998.0;4.0;2634;673196;"50%";A
10857;1998.0;1.0;2631;675827;"50%";A
10516;1997.0;4.0;2614;678442;"50%";A
10755;1997.0;11.0;2598;681040;"50%";A
10570;1997.0;6.0;2595;683635;"50%";A
10838;1998.0;1.0;2584;686219;"51%";A
10340;1996.0;10.0;2564;688784;"51%";A
10335;1996.0;10.0;2545;691329;"51%";A
10703;1997.0;10.0;2545;693874;"51%";A
10764;1997.0;12.0;2540;696414;"51%";A
10369;1996.0;12.0;2527;698941;"52%";A
10431;1997.0;1.0;2523;701464;"52%";A
10795;1997.0;12.0;2499;703963;"52%";A
10593;1997.0;7.0;2493;706456;"52%";A
10255;1996.0;7.0;2490;708947;"52%";A
10756;1997.0;11.0;2488;711434;"53%";A
10337;1996.0;10.0;2467;713901;"53%";A
10263;1996.0;7.0;2465;716366;"53%";A
10930;1998.0;3.0;2455;718821;"53%";A
10513;1997.0;4.0;2428;721249;"53%";A
10583;1997.0;6.0;2414;723663;"53%";A
11031;1998.0;4.0;2394;726056;"54%";A
10598;1997.0;7.0;2389;728445;"54%";A
11068;1998.0;5.0;2385;730829;"54%";A
10948;1998.0;3.0;2362;733192;"54%";A
10519;1997.0;4.0;2356;735548;"54%";A
