"year";"month";"product_id";"product_name";"revenue";"abc_class";"stab_percent";"product_dinamic"
1996.0;8.0;1;Chai;907;A;"0%";Товар без спроса
1996.0;9.0;1;Chai;288;C;-68%;Одноразовый хит
1996.0;11.0;1;Chai;389;C;"35%";Одноразовый хит
1996.0;12.0;1;Chai;216;C;-44%;Одноразовый хит
1997.0;1.0;1;Chai;490;B;"127%";Одноразовый хит
1997.0;3.0;1;Chai;216;C;-56%;Одноразовый хит
1997.0;4.0;1;Chai;720;B;"233%";Одноразовый хит
1997.0;5.0;1;Chai;144;C;-80%;Одноразовый хит
1997.0;6.0;1;Chai;180;C;"25%";Волатильный товар
1997.0;7.0;1;Chai;522;B;"190%";Якорный товар
1997.0;8.0;1;Chai;720;B;"38%";Якорный товар
1997.0;10.0;1;Chai;1260;A;"75%";Волатильный товар
1997.0;11.0;1;Chai;1044;A;-17%;Одноразовый хит
1998.0;1.0;1;Chai;1512;A;"45%";Волатильный товар
1998.0;2.0;1;Chai;1620;A;"7%";Волатильный товар
1998.0;3.0;1;Chai;1458;A;-10%;Одноразовый хит
1998.0;4.0;1;Chai;1872;A;"28%";Одноразовый хит
1998.0;5.0;1;Chai;720;A;-62%;Одноразовый хит
1996.0;7.0;2;Chang;1596;A;"0%";Товар без спроса
1996.0;9.0;2;Chang;608;B;-62%;Одноразовый хит
1996.0;10.0;2;Chang;851;A;"40%";Одноразовый хит
1996.0;12.0;2;Chang;380;B;-55%;Одноразовый хит
1997.0;1.0;2;Chang;912;B;"140%";Одноразовый хит
1997.0;2.0;2;Chang;836;A;-8%;Одноразовый хит
1997.0;3.0;2;Chang;912;A;"9%";Товар без спроса
1997.0;4.0;2;Chang;228;C;-75%;Товар без спроса
1997.0;7.0;2;Chang;190;C;-17%;Одноразовый хит
1997.0;8.0;2;Chang;1900;A;"900%";Одноразовый хит
1997.0;10.0;2;Chang;722;B;-62%;Одноразовый хит
1997.0;11.0;2;Chang;285;C;-61%;Одноразовый хит
1997.0;12.0;2;Chang;1615;A;"467%";Одноразовый хит
1998.0;1.0;2;Chang;1178;A;-27%;Одноразовый хит
1998.0;2.0;2;Chang;1159;B;-2%;Товар без спроса
1998.0;3.0;2;Chang;190;C;-84%;Одноразовый хит
1998.0;4.0;2;Chang;3819;A;"1910%";Одноразовый хит
1998.0;5.0;2;Chang;1178;A;-69%;Одноразовый хит
1996.0;8.0;3;Aniseed Syrup;240;B;"0%";Волатильный товар
1997.0;1.0;3;Aniseed Syrup;400;B;"67%";Волатильный товар
1997.0;3.0;3;Aniseed Syrup;160;C;-60%;Одноразовый хит
1997.0;5.0;3;Aniseed Syrup;600;B;"275%";Одноразовый хит
1997.0;7.0;3;Aniseed Syrup;140;C;-77%;Одноразовый хит
1997.0;10.0;3;Aniseed Syrup;60;C;-57%;Одноразовый хит
1997.0;11.0;3;Aniseed Syrup;200;C;"233%";Волатильный товар
1997.0;12.0;3;Aniseed Syrup;200;C;"0%";Якорный товар
1998.0;1.0;3;Aniseed Syrup;790;B;"295%";Волатильный товар
1998.0;4.0;3;Aniseed Syrup;250;C;-68%;Одноразовый хит
1998.0;5.0;3;Aniseed Syrup;40;C;-84%;Товар без спроса
1996.0;9.0;4;Chef Anton's Cajun Seasoning;352;B;"0%";Волатильный товар
1996.0;10.0;4;Chef Anton's Cajun Seasoning;915;A;"160%";Волатильный товар
1996.0;11.0;4;Chef Anton's Cajun Seasoning;616;B;-33%;Одноразовый хит
1997.0;3.0;4;Chef Anton's Cajun Seasoning;282;B;-54%;Одноразовый хит
1997.0;4.0;4;Chef Anton's Cajun Seasoning;1100;A;"291%";Волатильный товар
1997.0;5.0;4;Chef Anton's Cajun Seasoning;2200;A;"100%";Волатильный товар
1997.0;7.0;4;Chef Anton's Cajun Seasoning;440;B;-80%;Одноразовый хит
1997.0;8.0;4;Chef Anton's Cajun Seasoning;770;A;"75%";Одноразовый хит
1997.0;9.0;4;Chef Anton's Cajun Seasoning;264;C;-66%;Одноразовый хит
1997.0;10.0;4;Chef Anton's Cajun Seasoning;132;C;-50%;Одноразовый хит
1997.0;11.0;4;Chef Anton's Cajun Seasoning;550;B;"317%";Одноразовый хит
1998.0;1.0;4;Chef Anton's Cajun Seasoning;462;C;-16%;Одноразовый хит
1998.0;2.0;4;Chef Anton's Cajun Seasoning;660;B;"43%";Одноразовый хит
1998.0;3.0;4;Chef Anton's Cajun Seasoning;110;C;-83%;Одноразовый хит
1998.0;4.0;4;Chef Anton's Cajun Seasoning;550;C;"400%";Одноразовый хит
1998.0;5.0;4;Chef Anton's Cajun Seasoning;22;C;-96%;Одноразовый хит
1996.0;7.0;5;Chef Anton's Gumbo Mix;1309;A;"0%";Товар без спроса
1996.0;8.0;5;Chef Anton's Gumbo Mix;340;B;-74%;Одноразовый хит
1996.0;12.0;5;Chef Anton's Gumbo Mix;544;B;"60%";Одноразовый хит
1997.0;8.0;5;Chef Anton's Gumbo Mix;320;B;-41%;Одноразовый хит
1997.0;10.0;5;Chef Anton's Gumbo Mix;85;C;-73%;Одноразовый хит
1998.0;1.0;5;Chef Anton's Gumbo Mix;641;B;"650%";Одноразовый хит
1998.0;3.0;5;Chef Anton's Gumbo Mix;427;C;-33%;Одноразовый хит
1998.0;4.0;5;Chef Anton's Gumbo Mix;2135;A;"400%";Одноразовый хит
1996.0;9.0;6;Grandma's Boysenberry Spread;600;B;"0%";Товар без спроса
1996.0;10.0;6;Grandma's Boysenberry Spread;120;C;-80%;Одноразовый хит
1997.0;8.0;6;Grandma's Boysenberry Spread;1750;A;"1358%";Одноразовый хит
1997.0;11.0;6;Grandma's Boysenberry Spread;750;A;-57%;Одноразовый хит
1998.0;1.0;6;Grandma's Boysenberry Spread;150;C;-80%;Одноразовый хит
1998.0;2.0;6;Grandma's Boysenberry Spread;1250;A;"733%";Волатильный товар
1998.0;3.0;6;Grandma's Boysenberry Spread;2200;A;"76%";Волатильный товар
1998.0;5.0;6;Grandma's Boysenberry Spread;525;A;-76%;Одноразовый хит
1996.0;7.0;7;Uncle Bob's Organic Dried Pears;360;B;"0%";Товар без спроса
1996.0;12.0;7;Uncle Bob's Organic Dried Pears;240;C;-33%;Одноразовый хит
1997.0;2.0;7;Uncle Bob's Organic Dried Pears;384;B;"60%";Волатильный товар
1997.0;3.0;7;Uncle Bob's Organic Dried Pears;720;A;"88%";Якорный товар
1997.0;4.0;7;Uncle Bob's Organic Dried Pears;1500;A;"108%";Волатильный товар
1997.0;5.0;7;Uncle Bob's Organic Dried Pears;300;C;-80%;Одноразовый хит
1997.0;7.0;7;Uncle Bob's Organic Dried Pears;1650;A;"450%";Одноразовый хит
1997.0;8.0;7;Uncle Bob's Organic Dried Pears;1050;A;-36%;Одноразовый хит
1997.0;10.0;7;Uncle Bob's Organic Dried Pears;2700;A;"157%";Одноразовый хит
1997.0;12.0;7;Uncle Bob's Organic Dried Pears;1140;A;-58%;Одноразовый хит
1998.0;1.0;7;Uncle Bob's Organic Dried Pears;750;B;-34%;Одноразовый хит
1998.0;2.0;7;Uncle Bob's Organic Dried Pears;960;B;"28%";Волатильный товар
1998.0;3.0;7;Uncle Bob's Organic Dried Pears;6510;A;"578%";Волатильный товар
1998.0;4.0;7;Uncle Bob's Organic Dried Pears;3720;A;-43%;Одноразовый хит
1998.0;5.0;7;Uncle Bob's Organic Dried Pears;480;A;-87%;Товар без спроса
1996.0;11.0;8;Northwoods Cranberry Sauce;4480;A;"0%";Товар без спроса
1997.0;4.0;8;Northwoods Cranberry Sauce;1360;A;-70%;Одноразовый хит
1997.0;10.0;8;Northwoods Cranberry Sauce;2000;A;"47%";Одноразовый хит
1997.0;12.0;8;Northwoods Cranberry Sauce;1200;A;-40%;Одноразовый хит
1998.0;1.0;8;Northwoods Cranberry Sauce;800;B;-33%;Одноразовый хит
1998.0;2.0;8;Northwoods Cranberry Sauce;1200;B;"50%";Волатильный товар
1998.0;3.0;8;Northwoods Cranberry Sauce;1440;A;"20%";Волатильный товар
1998.0;4.0;8;Northwoods Cranberry Sauce;1200;B;-17%;Одноразовый хит
1998.0;5.0;8;Northwoods Cranberry Sauce;80;C;-93%;Товар без спроса
1997.0;1.0;9;Mishi Kobe Niku;1552;A;"0%";Волатильный товар
1997.0;4.0;9;Mishi Kobe Niku;1552;A;"0%";Якорный товар
1997.0;9.0;9;Mishi Kobe Niku;4850;A;"212%";Волатильный товар
1997.0;10.0;9;Mishi Kobe Niku;582;B;-88%;Одноразовый хит
1998.0;1.0;9;Mishi Kobe Niku;291;C;-50%;Товар без спроса
1996.0;8.0;10;Ikura;967;A;"0%";Товар без спроса
1996.0;11.0;10;Ikura;744;B;-23%;Товар без спроса
1996.0;12.0;10;Ikura;397;B;-47%;Одноразовый хит
1997.0;2.0;10;Ikura;843;A;"112%";Одноразовый хит
1997.0;3.0;10;Ikura;496;B;-41%;Одноразовый хит
1997.0;4.0;10;Ikura;496;B;"0%";Товар без спроса
1997.0;5.0;10;Ikura;62;C;-88%;Одноразовый хит
1997.0;6.0;10;Ikura;155;C;"150%";Волатильный товар
1997.0;7.0;10;Ikura;2480;A;"1500%";Волатильный товар
1997.0;8.0;10;Ikura;558;B;-78%;Одноразовый хит
1997.0;9.0;10;Ikura;1426;A;"156%";Волатильный товар
1997.0;10.0;10;Ikura;2263;A;"59%";Волатильный товар
1997.0;12.0;10;Ikura;1612;A;-29%;Одноразовый хит
1998.0;1.0;10;Ikura;4061;A;"152%";Одноразовый хит
1998.0;2.0;10;Ikura;2480;A;-39%;Одноразовый хит
1998.0;3.0;10;Ikura;2325;A;-6%;Товар без спроса
1998.0;4.0;10;Ikura;744;B;-68%;Товар без спроса
1998.0;5.0;10;Ikura;31;C;-96%;Товар без спроса
1996.0;7.0;11;Queso Cabrales;168;C;"0%";Волатильный товар
1996.0;9.0;11;Queso Cabrales;202;C;"20%";Якорный товар
1996.0;10.0;11;Queso Cabrales;840;B;"317%";Волатильный товар
1996.0;11.0;11;Queso Cabrales;605;B;-28%;Одноразовый хит
1997.0;1.0;11;Queso Cabrales;504;B;-17%;Одноразовый хит
1997.0;2.0;11;Queso Cabrales;706;B;"40%";Одноразовый хит
1997.0;3.0;11;Queso Cabrales;504;B;-29%;Одноразовый хит
1997.0;5.0;11;Queso Cabrales;1953;A;"288%";Одноразовый хит
1997.0;6.0;11;Queso Cabrales;1050;A;-46%;Одноразовый хит
1997.0;7.0;11;Queso Cabrales;294;C;-72%;Товар без спроса
1997.0;8.0;11;Queso Cabrales;210;C;-29%;Одноразовый хит
1997.0;10.0;11;Queso Cabrales;315;C;"50%";Одноразовый хит
1997.0;11.0;11;Queso Cabrales;105;C;-67%;Одноразовый хит
1997.0;12.0;11;Queso Cabrales;1785;A;"1600%";Одноразовый хит
1998.0;1.0;11;Queso Cabrales;1260;A;-29%;Одноразовый хит
1998.0;2.0;11;Queso Cabrales;1890;A;"50%";Одноразовый хит
1998.0;3.0;11;Queso Cabrales;1092;B;-42%;Одноразовый хит
1998.0;4.0;11;Queso Cabrales;210;C;-81%;Товар без спроса
1998.0;5.0;11;Queso Cabrales;210;B;"0%";Товар без спроса
1996.0;7.0;12;Queso Manchego La Pastora;365;B;"0%";Волатильный товар
1997.0;2.0;12;Queso Manchego La Pastora;456;B;"25%";Якорный товар
1997.0;5.0;12;Queso Manchego La Pastora;1710;A;"275%";Волатильный товар
1997.0;8.0;12;Queso Manchego La Pastora;1368;A;-20%;Одноразовый хит
1997.0;9.0;12;Queso Manchego La Pastora;3800;A;"178%";Одноразовый хит
1997.0;10.0;12;Queso Manchego La Pastora;1520;A;-60%;Одноразовый хит
1998.0;3.0;12;Queso Manchego La Pastora;1900;A;"25%";Одноразовый хит
1998.0;4.0;12;Queso Manchego La Pastora;1672;A;-12%;Одноразовый хит
1998.0;5.0;12;Queso Manchego La Pastora;76;C;-95%;Товар без спроса
1996.0;8.0;13;Konbu;144;C;"0%";Товар без спроса
1996.0;10.0;13;Konbu;58;C;-60%;Одноразовый хит
1996.0;12.0;13;Konbu;230;C;"300%";Одноразовый хит
1997.0;1.0;13;Konbu;10;C;-96%;Одноразовый хит
1997.0;3.0;13;Konbu;5;C;-50%;Одноразовый хит
1997.0;4.0;13;Konbu;60;C;"1150%";Волатильный товар
1997.0;5.0;13;Konbu;108;C;"80%";Якорный товар
1997.0;7.0;13;Konbu;408;B;"278%";Волатильный товар
1997.0;8.0;13;Konbu;78;C;-81%;Одноразовый хит
1997.0;11.0;13;Konbu;60;C;-23%;Одноразовый хит
1997.0;12.0;13;Konbu;120;C;"100%";Волатильный товар
1998.0;1.0;13;Konbu;546;B;"355%";Волатильный товар
1998.0;2.0;13;Konbu;438;C;-20%;Одноразовый хит
1998.0;3.0;13;Konbu;1728;A;"295%";Одноразовый хит
1998.0;4.0;13;Konbu;1158;B;-33%;Одноразовый хит
1998.0;5.0;13;Konbu;84;C;-93%;Товар без спроса
1996.0;7.0;14;Tofu;167;C;"0%";Волатильный товар
1996.0;10.0;14;Tofu;353;B;"111%";Якорный товар
1996.0;12.0;14;Tofu;1060;A;"200%";Якорный товар
1997.0;1.0;14;Tofu;1246;A;"18%";Волатильный товар
1997.0;3.0;14;Tofu;223;C;-82%;Одноразовый хит
1997.0;4.0;14;Tofu;1628;A;"629%";Одноразовый хит
1997.0;6.0;14;Tofu;1302;A;-20%;Одноразовый хит
1997.0;8.0;14;Tofu;558;B;-57%;Одноразовый хит
1997.0;9.0;14;Tofu;767;B;"38%";Одноразовый хит
1997.0;11.0;14;Tofu;488;B;-36%;Одноразовый хит
1997.0;12.0;14;Tofu;349;C;-29%;Одноразовый хит
1998.0;5.0;14;Tofu;488;A;"40%";Одноразовый хит
1996.0;8.0;15;Genen Shouyu;248;B;"0%";Товар без спроса
1996.0;10.0;15;Genen Shouyu;62;C;-75%;Одноразовый хит
1997.0;4.0;15;Genen Shouyu;186;C;"200%";Одноразовый хит
1997.0;6.0;15;Genen Shouyu;155;C;-17%;Одноразовый хит
1997.0;7.0;15;Genen Shouyu;388;C;"150%";Волатильный товар
1997.0;9.0;15;Genen Shouyu;775;B;"100%";Волатильный товар
1996.0;7.0;16;Pavlova;1320;A;"0%";Товар без спроса
1996.0;8.0;16;Pavlova;556;A;-58%;Товар без спроса
1996.0;9.0;16;Pavlova;556;B;"0%";Товар без спроса
1996.0;10.0;16;Pavlova;292;B;-48%;Одноразовый хит
1996.0;11.0;16;Pavlova;778;B;"167%";Одноразовый хит
1997.0;1.0;16;Pavlova;292;C;-62%;Одноразовый хит
1997.0;2.0;16;Pavlova;1181;A;"305%";Одноразовый хит
1997.0;3.0;16;Pavlova;737;A;-38%;Одноразовый хит
1997.0;4.0;16;Pavlova;873;B;"18%";Волатильный товар
1997.0;5.0;16;Pavlova;1466;A;"68%";Волатильный товар
1997.0;6.0;16;Pavlova;209;C;-86%;Одноразовый хит
1997.0;7.0;16;Pavlova;524;B;"150%";Волатильный товар
1997.0;9.0;16;Pavlova;1623;A;"210%";Волатильный товар
1997.0;10.0;16;Pavlova;698;B;-57%;Одноразовый хит
1997.0;11.0;16;Pavlova;314;B;-55%;Одноразовый хит
1997.0;12.0;16;Pavlova;1483;A;"372%";Одноразовый хит
1998.0;1.0;16;Pavlova;873;B;-41%;Одноразовый хит
1998.0;2.0;16;Pavlova;1099;B;"26%";Волатильный товар
1998.0;3.0;16;Pavlova;3019;A;"175%";Волатильный товар
1998.0;5.0;16;Pavlova;855;A;-72%;Одноразовый хит
1996.0;7.0;17;Alice Mutton;936;A;"0%";Волатильный товар
1996.0;8.0;17;Alice Mutton;936;A;"0%";Якорный товар
1996.0;9.0;17;Alice Mutton;1248;A;"33%";Якорный товар
