"category_id";"category_name";"year";"quarter";"category_revenue";"concat";"concat";"category_trend"
1;Beverages;1996.0;3.0;13606;"16%";"0%";Без выраженного тренда
1;Beverages;1996.0;4.0;40273;"28%";"196%";Нестабильный рост
1;Beverages;1997.0;1.0;38342;"26%";-5%;Без выраженного тренда
1;Beverages;1997.0;2.0;26634;"18%";-31%;Нестабильный рост
1;Beverages;1997.0;3.0;20696;"13%";-22%;Без выраженного тренда
1;Beverages;1997.0;4.0;24752;"13%";"20%";Стабильный рост
1;Beverages;1998.0;1.0;93157;"30%";"276%";Нестабильный рост
1;Beverages;1998.0;2.0;29067;"19%";-69%;Без выраженного тренда
2;Condiments;1996.0;3.0;6376;"8%";"0%";Без выраженного тренда
2;Condiments;1996.0;4.0;13083;"9%";"105%";Нестабильный рост
2;Condiments;1997.0;1.0;14223;"10%";"9%";Без выраженного тренда
2;Condiments;1997.0;2.0;13519;"9%";-5%;Нестабильный рост
2;Condiments;1997.0;3.0;15049;"9%";"11%";Стабильный рост
2;Condiments;1997.0;4.0;16888;"9%";"12%";Без выраженного тренда
2;Condiments;1998.0;1.0;22746;"7%";"35%";Нестабильный рост
2;Condiments;1998.0;2.0;11812;"8%";-48%;Без выраженного тренда
3;Confections;1996.0;3.0;17936;"21%";"0%";Без выраженного тренда
3;Confections;1996.0;4.0;13575;"10%";-24%;Нестабильный рост
3;Confections;1997.0;1.0;20321;"14%";"50%";Нестабильный рост
3;Confections;1997.0;2.0;22207;"15%";"9%";Без выраженного тренда
3;Confections;1997.0;3.0;22186;"13%";"0%";Нестабильный рост
3;Confections;1997.0;4.0;22515;"12%";"1%";Без выраженного тренда
3;Confections;1998.0;1.0;46717;"15%";"107%";Нестабильный рост
3;Confections;1998.0;2.0;11643;"8%";-75%;Без выраженного тренда
4;Dairy Products;1996.0;3.0;16594;"20%";"0%";Без выраженного тренда
4;Dairy Products;1996.0;4.0;28022;"20%";"69%";Нестабильный рост
4;Dairy Products;1997.0;1.0;25332;"17%";-10%;Нестабильный рост
4;Dairy Products;1997.0;2.0;27646;"18%";"9%";Стабильный рост
4;Dairy Products;1997.0;3.0;33000;"20%";"19%";Нестабильный рост
4;Dairy Products;1997.0;4.0;37933;"20%";"15%";Нестабильный рост
4;Dairy Products;1998.0;1.0;45716;"15%";"21%";Нестабильный рост
4;Dairy Products;1998.0;2.0;37088;"24%";-19%;Без выраженного тренда
5;Grains/Cereals;1996.0;3.0;2363;"3%";"0%";Без выраженного тренда
5;Grains/Cereals;1996.0;4.0;7454;"5%";"215%";Нестабильный рост
5;Grains/Cereals;1997.0;1.0;12964;"9%";"74%";Без выраженного тренда
5;Grains/Cereals;1997.0;2.0;15990;"11%";"23%";Без выраженного тренда
5;Grains/Cereals;1997.0;3.0;16065;"10%";"0%";Без выраженного тренда
5;Grains/Cereals;1997.0;4.0;15469;"8%";-4%;Нестабильный рост
5;Grains/Cereals;1998.0;1.0;20212;"6%";"31%";Нестабильный рост
5;Grains/Cereals;1998.0;2.0;10210;"7%";-49%;Без выраженного тренда
6;Meat/Poultry;1996.0;3.0;11068;"13%";"0%";Без выраженного тренда
6;Meat/Poultry;1996.0;4.0;19224;"14%";"74%";Нестабильный рост
6;Meat/Poultry;1997.0;1.0;19490;"13%";"1%";Без выраженного тренда
6;Meat/Poultry;1997.0;2.0;15401;"10%";-21%;Нестабильный рост
6;Meat/Poultry;1997.0;3.0;22252;"13%";"44%";Нестабильный рост
6;Meat/Poultry;1997.0;4.0;30478;"16%";"37%";Без выраженного тренда
6;Meat/Poultry;1998.0;1.0;33547;"11%";"10%";Без выраженного тренда
6;Meat/Poultry;1998.0;2.0;26729;"17%";-20%;Без выраженного тренда
7;Produce;1996.0;3.0;6141;"7%";"0%";Без выраженного тренда
7;Produce;1996.0;4.0;8993;"6%";"46%";Нестабильный рост
7;Produce;1997.0;1.0;9271;"6%";"3%";Нестабильный рост
7;Produce;1997.0;2.0;15849;"10%";"71%";Нестабильный рост
7;Produce;1997.0;3.0;8992;"5%";-43%;Нестабильный рост
7;Produce;1997.0;4.0;23606;"12%";"163%";Нестабильный рост
7;Produce;1998.0;1.0;16010;"5%";-32%;Нестабильный рост
7;Produce;1998.0;2.0;16406;"11%";"2%";Без выраженного тренда
8;Seafood;1996.0;3.0;10353;"12%";"0%";Без выраженного тренда
8;Seafood;1996.0;4.0;11236;"8%";"9%";Нестабильный рост
8;Seafood;1997.0;1.0;7937;"5%";-29%;Нестабильный рост
8;Seafood;1997.0;2.0;14367;"9%";"81%";Стабильный рост
8;Seafood;1997.0;3.0;26939;"16%";"88%";Нестабильный рост
8;Seafood;1997.0;4.0;22078;"11%";-18%;Нестабильный рост
8;Seafood;1998.0;1.0;37138;"12%";"68%";Нестабильный рост
8;Seafood;1998.0;2.0;11574;"7%";-69%;Без выраженного тренда
